,Sector,Subsector,Market Cap (£ m),Current Price per Share (pence),Net Asset Value per Share (pence),Gearing (%),Dividend Yield (%),Last Statement Year
BMO CAPITAL &amp; INCOME INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,318.65,309,nan,nan,nan,2017
BMO GLOBAL SMALLER COMPANIES PLC,Equity Investment Instruments,Equity Investment Instruments,807.33,1310,nan,nan,nan,2018
BMO PRIVATE EQUITY TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,257.32,345,357.23,nan,nan,2017
BMO UK HIGH INCOME TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,78.67,90.5,103.75,5.06,nan,2018
BMO UK HIGH INCOME TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,28.65,92.5,103.75,5.06,nan,2018
BODYCOTE PLC,Industrial Engineering,Industrial Machinery,1463.68,769.5,220,-0.18,2.45,2016
"BOKU, INC.",Support Services,Financial Administration,206.59,85,nan,-56.7,nan,2017
BONHILL GROUP PLC,Media,Publishing,30.87,90,0.49,nan,nan,2018
BONMARCHE HOLDINGS PLC,General Retailers,Apparel Retailers,19.51,38.5,42.07,-14.99,9.23,2018
BOOHOO GROUP PLC,General Retailers,Apparel Retailers,2047.08,176.95,15.06,-65.21,nan,2018
BOOT (HENRY) PLC,Construction &amp; Materials,Heavy Construction,351.51,264,197,10.84,2.51,2017
BORDERS &amp; SOUTHERN PETROLEUM PLC,Oil &amp; Gas Producers,Exploration &amp; Production,11.13,2.3,1.28,nan,nan,2017
BOTSWANA DIAMONDS PLC,Mining,Diamonds &amp; Gemstones,4.61,0.75,0,nan,nan,2018
BOVIS HOMES GROUP PLC,Household Goods &amp; Home Construction,Home Construction,1364.82,1049,786.89,nan,4.1,2017
BOWLEVEN PLC,Oil &amp; Gas Producers,Exploration &amp; Production,54.16,16.24,29.59,nan,nan,2017
BOXHILL TECHNOLOGIES PLC,Travel &amp; Leisure,Gambling,1.56,0.05,0.04,-32.49,nan,2017
BP PLC,Oil &amp; Gas Producers,Integrated Oil &amp; Gas,108788.73,528.9,264.71,38.22,5.76,2017
BRITISH &amp; AMERICAN INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,12.12,48.5,22.14,13.07,12.29,2017
BRITISH AMERICAN TOBACCO PLC,Tobacco,Tobacco,66370.25,2813,-2484.31,75.91,3.94,2017
BRITISH EMPIRE TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,802.95,717,841.95,nan,1.7,2018
