,Sector,Subsector,Market Cap (£ m),Current Price per Share (pence),Net Asset Value per Share (pence),Gearing (%),Dividend Yield (%),Last Statement Year
SCIENTIFIC DIGITAL IMAGING PLC,Health Care Equipment &amp; Services,Medical Equipment,39.85,42,2.05,-4.67,nan,2018
SCISYS GROUP PLC,Software &amp; Computer Services,Computer Services,51.03,167.5,15.9,23.08,1.87,2017
SCOTTISH AMERICAN INVESTMENT CO. PLC,Equity Investment Instruments,Equity Investment Instruments,535.17,374,366.2,nan,3.02,2017
SCOTTISH INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,616.97,796,956.82,nan,2.97,2017
SCOTTISH ORIENTAL SMALLER COMPANIES TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,289.78,978,1156.2,nan,1.13,2018
SCOTGEMS PLC,Equity Investment Instruments,Equity Investment Instruments,48.98,91.5,nan,nan,nan,nan
SCOTGOLD RESOURCES LIMITED,Mining,Gold Mining,14.6,31.5,46.89,-35.98,nan,2018
SCOTTISH MORTGAGE INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,7345.16,491.8,nan,nan,0.69,2018
SCS GROUP PLC,General Retailers,Home Improvement Retailers,91.42,232,80.49,nan,nan,2018
SDL PLC,Software &amp; Computer Services,Software,513.18,590,43.99,nan,1.45,2017
SDX ENERGY INC.,Oil &amp; Gas Producers,Exploration &amp; Production,74.21,36,37.16,nan,nan,2017
SECURITIES TRUST OF SCOTLAND PLC,Equity Investment Instruments,Equity Investment Instruments,176.6,166.5,170.02,nan,3.8,2018
SECURE INCOME REIT PLC,Real Estate Investment Trusts,Diversified REITs,1276.61,399,373.29,102.06,3.76,2017
SEEING MACHINES LIMITED,Technology Hardware &amp; Equipment,Computer Hardware,113.25,4.9,2.04,-66.04,nan,2018
SEGRO PLC,Real Estate Investment Trusts,Industrial &amp; Office REITs,7049.27,652.8,556.51,nan,2.86,2017
SENECA GLOBAL INCOME &amp; GROWTH TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,80.25,171,nan,nan,3.65,2018
SENIOR PLC,Aerospace &amp; Defense,Aerospace,985.63,236.4,44.73,29.18,2.67,2017
SENSYNE HEALTH PLC,Health Care Equipment &amp; Services,Health Care Providers,236.57,184,nan,nan,nan,nan
SEQUOIA ECONOMIC INFRASTRUCTURE INCOME FUND LIMITED,Equity Investment Instruments,Equity Investment Instruments,1172.38,110.5,98.2,nan,8.92,2018
SERABI GOLD PLC,Mining,Gold Mining,22.97,39,133.01,2.47,nan,2017
SERCO GROUP PLC,Support Services,Business Support Services,1416.05,129.4,-28.41,58.71,nan,2017
SERICA ENERGY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,317.71,122,29.67,nan,nan,2017
SERINUS ENERGY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,33.14,13.25,1.88,nan,nan,2017
SEVERFIELD PLC,Industrial Engineering,Industrial Machinery,200.63,66,38.1,-19.46,3.54,2018
SEVERN TRENT PLC,"Gas, Water &amp; Multiutilities",Water,4804.98,2021,356.83,555.17,4.69,2018
SHAFTESBURY PLC,Real Estate Investment Trusts,Retail REITs,2631.18,871.5,948.71,nan,1.57,2017
SHANTA GOLD LIMITED,Mining,Gold Mining,42.84,5.35,7.27,48.24,nan,2017
SHARE PLC,Financial Services,Investment Services,35.55,24.75,10.83,nan,1.74,2017
SHEARWATER GROUP PLC,Software &amp; Computer Services,Software,41.41,2.17,0.1,nan,nan,2018
SHIELD THERAPEUTICS PLC,Pharmaceuticals &amp; Biotechnology,Pharmaceuticals,65.2,56,17.97,nan,nan,2017
SHIRES INCOME PLC,Equity Investment Instruments,Equity Investment Instruments,77.13,253,268.07,nan,5,2018
SHOE ZONE PLC,General Retailers,Apparel Retailers,114.14,229,62.32,nan,6.92,2017
SIG PLC,Support Services,Industrial Suppliers,706.91,121.1,18.19,46.79,2.11,2017
SIGMA CAPITAL GROUP PLC,Financial Services,Specialty Finance,103.69,117,44.53,-13.96,nan,2017
SIGMAROC PLC,Construction &amp; Materials,Building Materials &amp; Fixtures,72.66,41.9,23.1,23.29,nan,2017
SILENCE THERAPEUTICS PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,37.88,51.2,66.52,nan,nan,2016
SIMEC ATLANTIS ENERGY LIMITED,Electricity,Alternative Electricity,75.07,20.5,19.03,62.28,nan,2017
SIMIGON LTD.,Software &amp; Computer Services,Software,5.98,11.75,12.68,nan,nan,2017
THE SIMPLYBIZ GROUP PLC,Support Services,Business Support Services,134.97,176.5,nan,nan,nan,nan
SIRIUS MINERALS PLC,Chemicals,Specialty Chemicals,969.01,20.1,10.99,2.73,nan,2017
SIRIUS PETROLEUM PLC,Oil &amp; Gas Producers,Exploration &amp; Production,14.71,0.4,0.03,-30.59,nan,2017
SIRIUS REAL ESTATE LD,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,631.03,61.2,54.48,45.96,4.5,2018
SKINBIOTHERAPEUTICS PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,23.7,18.5,253.63,nan,nan,2018
SMART METERING SYSTEMS PLC,Support Services,Business Support Services,712.43,634,190.08,16.03,0.61,2017
SMART (J.) &amp; CO. (CONTRACTORS) PLC,Construction &amp; Materials,Heavy Construction,49.03,111.5,219.59,-12.14,2.81,2018
SMARTSPACE SOFTWARE PLC,Software &amp; Computer Services,Software,19.94,90,28.67,-5.43,nan,2018
SMITH &amp; NEPHEW PLC,Health Care Equipment &amp; Services,Medical Equipment,12611.84,1425.5,78.81,27.58,1.08,2017
SMITH (DS) PLC,General Industrials,Containers &amp; Packaging,4676.69,337.7,6.14,80.84,2.81,2018
SMITHS GROUP PLC,General Industrials,Diversified Industrials,5780.77,1449.5,53.32,39.3,2.76,2018
SMITHSON INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,991.72,1106,nan,nan,nan,nan
SMURFIT KAPPA GROUP PLC,General Industrials,Containers &amp; Packaging,5408.45,2232,29.7,112.2,3.13,2017
SOCO INTERNATIONAL PLC,Oil &amp; Gas Producers,Exploration &amp; Production,227.06,67.7,113.06,nan,3.31,2017
SOFTCAT PLC,Software &amp; Computer Services,Computer Services,1473,746,44.49,nan,nan,2018
SOLID STATE PLC,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,35.21,415,140.12,nan,3.12,2018
SOLO OIL PLC,Oil &amp; Gas Producers,Exploration &amp; Production,10.11,1.6,0.97,3.88,nan,2017
SOMERO ENTERPRISE INC.,Industrial Engineering,Commercial Vehicles &amp; Trucks,191.38,340,61.2,nan,3.99,2017
SOPHEON PLC,Software &amp; Computer Services,Software,119.21,1130,97.72,-51.24,0.72,2017
SOPHOS GROUP PLC,Software &amp; Computer Services,Software,1657.95,339.4,-121.33,222.44,nan,2018
SOSANDAR PLC,General Retailers,Apparel Retailers,33.81,29.1,4.56,nan,nan,2018
SOUND ENERGY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,244.36,23.3,0.84,nan,nan,2017
SPACEANDPEOPLE PLC,Media,Media Agencies,2.83,14.5,8.99,nan,4.92,2017
SPECTRA SYSTEMS CORPORATION,Support Services,Business Support Services,58.4,129,29.42,nan,nan,2017
SPECTRIS PLC,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,3051.88,2648,307.5,4.2,2.13,2017
SPEEDY HIRE PLC,Support Services,Business Support Services,293.34,56.2,35.86,35.09,3.17,2018
SPIRAX-SARCO ENGINEERING PLC,Industrial Engineering,Industrial Machinery,4990.91,6720,-31.11,61.41,1.56,2017
SPIRE HEALTHCARE GROUP PLC,Health Care Equipment &amp; Services,Health Care Providers,513.79,129,129.77,44.59,1.52,2017
SPIRENT COMMUNICATIONS PLC,Technology Hardware &amp; Equipment,Telecommunications Equipment,910.27,150.8,23.71,nan,6.59,2017
SPITFIRE OIL LIMITED,Oil &amp; Gas Producers,Exploration &amp; Production,0.84,3.25,9.07,nan,nan,2018
SPORTECH PLC,Travel &amp; Leisure,Gambling,64.93,33.6,21.32,nan,36.71,2017
SPORTS DIRECT INTERNATIONAL PLC,General Retailers,Apparel Retailers,1418.67,270.3,192.04,nan,nan,2018
SPRINGFIELD PROPERTIES PLC,Household Goods &amp; Home Construction,Home Construction,116.56,123.5,443.32,19.32,nan,2018
SQN ASSET FINANCE INCOME FUND LIMITED,Equity Investment Instruments,Equity Investment Instruments,333.46,93.6,148.98,nan,3.65,2018
SQN ASSET FINANCE INCOME FUND LIMITED,Equity Investment Instruments,Equity Investment Instruments,129.55,93.25,148.98,nan,nan,2018
SRT MARINE SYSTEMS PLC,Technology Hardware &amp; Equipment,Semiconductors,49.79,32.5,10.37,11.74,nan,2018
SSE PLC,Electricity,Conventional Electricity,12159.34,1184,442.08,160.19,7.42,2018
SSP GROUP PLC,Travel &amp; Leisure,Restaurants &amp; Bars,3129.98,675.1,-68.25,68.07,1.56,2017
ST. JAMES'S PLACE PLC,Life Insurance,Life Insurance,5134.77,971.2,74.46,nan,3.52,2017
ST.MODWEN PROPERTIES PLC,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,873.94,401.4,430.51,54.77,2.14,2016
STAFFLINE GROUP PLC,Support Services,Business Training &amp; Employment Agencies,187.23,670,-68.94,17.22,2.64,2017
STAGECOACH GROUP PLC,Travel &amp; Leisure,Travel &amp; Tourism,919.34,160.3,2.49,201.99,4.86,2018
STANDARD LIFE UK SMALLER COMPANIES TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,442.58,444,571.9,nan,1.4,2018
STANDARD CHARTERED PLC,Banks,Banks,20481.53,604.5,1078.95,nan,2.12,2017
STANLEY GIBBONS GROUP PLC,General Retailers,Specialty Retailers,11.74,2.75,1.45,44.36,nan,2018
STARCOM PLC,Software &amp; Computer Services,Software,4.11,1.52,0.07,33.38,nan,2016
STARVEST PLC,Financial Services,Specialty Finance,1.49,2.7,2.94,-6.69,nan,2018
STARWOOD EUROPEAN REAL ESTATE FINANCE LIMITED,Equity Investment Instruments,Equity Investment Instruments,392.83,104.75,102.17,0.41,5.94,2017
STATPRO GROUP PLC,Software &amp; Computer Services,Software,77.61,117.5,-54.55,69.68,2.04,2017
STANDARD LIFE INVESTMENTS PROPERTY INCOME TRUST LD,Real Estate Investment Trusts,Diversified REITs,360,88.7,87.62,nan,5.15,2017
STANDARD LIFE ABERDEEN PLC,Financial Services,Asset Managers,5978.94,241.45,137.3,nan,4.94,2017
STANDARD LIFE PRIVATE EQUITY TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,539.65,348,430.17,nan,3.59,2018
STERLING ENERGY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,24.76,11.25,16.77,nan,nan,2017
STHREE PLC,Support Services,Business Training &amp; Employment Agencies,412.18,309.5,54.08,-6.96,4.08,2017
STILO INTERNATIONAL PLC,Software &amp; Computer Services,Internet,3.25,2.85,1.22,nan,1.86,2017
STM GROUP PLC,Financial Services,Asset Managers,29.11,49,21.58,-54.32,nan,2017
STOBART GROUP LD,Industrial Transportation,Transportation Services,583.67,155.8,85.09,9.02,6.92,2018
STOCK SPIRITS GROUP PLC,Beverages,Distillers &amp; Vintners,454,226.5,-2.27,8.97,3.82,2018
STRATEGIC EQUITY CAPITAL PLC,Equity Investment Instruments,Equity Investment Instruments,132.58,207,260.16,nan,0.45,2018
STRATEGIC MINERALS PLC,Industrial Metals &amp; Mining,Iron &amp; Steel,24.91,1.75,0.4,nan,nan,2017
STRIDE GAMING PLC,Travel &amp; Leisure,Gambling,87.93,116,25.18,-44.03,2.94,2018
STRIX GROUP PLC,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,294.5,155,nan,nan,nan,2017
STV GROUP PLC,Media,Broadcasting &amp; Entertainment,140.5,358.5,nan,nan,5.03,2017
SUMMIT PROPERTIES LIMITED,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,462.65,1.11,nan,nan,nan,nan
SUMMIT THERAPEUTICS PLC,Pharmaceuticals &amp; Biotechnology,Pharmaceuticals,36.89,23.5,-10.04,nan,nan,2018
SUMO GROUP PLC,Leisure Goods,Toys,193.96,133,nan,nan,nan,2017
SUNRISE RESOURCES PLC,Mining,General Mining,3.01,0.11,0.01,nan,nan,2018
SUPERDRY PLC,Personal Goods,Clothing &amp; Accessories,438.64,553,429.62,nan,3.69,2018
SURESERVE GROUP PLC,Support Services,Business Support Services,49.62,31.25,1.27,2.54,-40.59,2017
SURFACE TRANSFORMS PLC,Automobiles &amp; Parts,Auto Parts,20.41,15.75,4.17,-29.9,nan,2017
SURGICAL INNOVATIONS GROUP PLC,Health Care Equipment &amp; Services,Medical Equipment,24.65,3.15,0.35,5.34,nan,2017
SUTTON HARBOUR HOLDINGS PLC,Industrial Transportation,Transportation Services,30.73,26.5,37.24,55.58,nan,2018
SVM UK EMERGING FUND PLC,Equity Investment Instruments,Equity Investment Instruments,5.58,92.5,112.06,0.85,nan,2018
SWALLOWFIELD PLC,Personal Goods,Personal Products,38.55,225,83.08,12.7,3.01,2018
SYLVANIA PLATINUM LIMITED,Mining,Platinum &amp; Precious Metals,75.66,26.5,29.42,-12.24,nan,2018
SYMPHONY ENVIRONMENTAL TECHNOLOGIES PLC,General Industrials,Containers &amp; Packaging,10.42,6.75,0.67,35.16,nan,2016
SYNAIRGEN PLC,Pharmaceuticals &amp; Biotechnology,Pharmaceuticals,17.51,16,7.13,nan,nan,2017
SYNCONA LIMITED,Equity Investment Instruments,Equity Investment Instruments,1881.18,286,159.98,nan,nan,2018
SYNECTICS PLC,Support Services,Business Support Services,35.14,197.5,106.8,-9.38,1.84,2017
SYNNOVIA PLC,Chemicals,Specialty Chemicals,39.97,102.5,nan,nan,nan,nan
SYNTHOMER PLC,Chemicals,Specialty Chemicals,1323.5,391,-2.74,46.53,2.5,2017
SYSGROUP PLC,Software &amp; Computer Services,Internet,20.26,41,-6.42,8.1,nan,2018
SYSTEM1 GROUP PLC,Media,Media Agencies,26.4,210,55.97,-80.87,11.2,2018
TALKTALK TELECOM GROUP PLC,Fixed Line Telecommunications,Fixed Line Telecommunications,1126.21,98.65,-47.12,356.13,3.45,2018
TANDEM GROUP PLC,Leisure Goods,Recreational Products,5.65,112.5,108.85,9.18,3.81,2017
TANFIELD GROUP PLC,Industrial Engineering,Commercial Vehicles &amp; Trucks,8.99,5.67,23.27,nan,nan,2017
TAPTICA INTERNATIONAL LTD,Media,Media Agencies,114.54,167.5,4.11,6.21,0.92,2017
TARGET HEALTHCARE REIT LIMITED,Real Estate Investment Trusts,Specialty REITs,446.7,116,105.72,nan,5.8,2018
TARSUS GROUP PLC,Media,Media Agencies,323.19,264,-104.22,nan,3.1,2017
TASTY PLC,Travel &amp; Leisure,Restaurants &amp; Bars,5.53,9.2,36.1,23.38,nan,2017
TATE &amp; LYLE PLC,Food Producers,Food Products,3359.6,701.4,218.46,27.8,5.27,2018
TATTON ASSET MANAGEMENT PLC,Financial Services,Asset Managers,112.93,202,131.55,nan,nan,2018
TAVISTOCK INVESTMENTS PLC,Financial Services,Specialty Finance,17.55,3.05,-0.08,-4.16,nan,2018
TAX SYSTEMS PLC,Software &amp; Computer Services,Software,87.56,108.5,-39.9,38.59,nan,2017
TAYLOR WIMPEY PLC,Household Goods &amp; Home Construction,Home Construction,5421.12,172.8,88.84,nan,1.84,2016
TBC BANK GROUP PLC,Banks,Banks,796.31,1444,2437.98,nan,nan,2017
TCS GROUP HOLDING PLC,Banks,Banks,1282.63,18.27,18392.12,nan,0.07,2017
TEAM17 GROUP PLC,Leisure Goods,Toys,259.29,195,nan,nan,nan,nan
TECHFINANCIALS INC,Software &amp; Computer Services,Software,4.25,5,0.72,nan,nan,2017
TED BAKER PLC,Personal Goods,Clothing &amp; Accessories,881.02,1997,426.49,49.91,1.98,2018
TEKCAPITAL PLC,Software &amp; Computer Services,Computer Services,3.94,8.25,17.63,nan,nan,2017
TEKMAR GROUP PLC,Oil Equipment &amp; Services,Pipelines,50.69,110,nan,nan,nan,nan
TELECOM PLUS PLC,Fixed Line Telecommunications,Fixed Line Telecommunications,1084.97,1398,53.78,nan,4.09,2018
TELFORD HOMES PLC,Household Goods &amp; Home Construction,Home Construction,258.9,344.5,305.63,43.04,4.19,2018
TELIT COMMUNICATIONS PLC,Technology Hardware &amp; Equipment,Telecommunications Equipment,157.76,118.6,8.28,24.53,nan,2017
TEMPLE BAR INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,847.95,1268,1400.22,nan,3.25,2017
TEMPLETON EMERGING MARKETS INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,1945.33,755,846,nan,nan,2018
TEN ENTERTAINMENT GROUP PLC,Travel &amp; Leisure,Recreational Services,148.2,228,-1802.36,8.5,nan,2017
TEN LIFESTYLE GROUP PLC,Travel &amp; Leisure,Travel &amp; Tourism,52.02,66,13.47,-71.75,nan,2018
TERN PLC,Software &amp; Computer Services,Software,29.58,12.75,7.38,nan,nan,2017
TERTIARY MINERALS PLC,Mining,General Mining,1.44,0.33,0.13,nan,nan,2018
TESCO PLC,Food &amp; Drug Retailers,Food Retailers &amp; Wholesalers,21878.67,224.2,95.45,43.53,1.46,2018
TEX HOLDINGS PLC,Industrial Engineering,Industrial Machinery,6.54,103,167.54,nan,7.17,2017
nan,nan,nan,nan,nan,nan,nan,nan,nan
THE EUROPEAN INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,334.89,820,1004.26,3.04,2.97,2018
VITEC GROUP PLC (THE),Industrial Engineering,Industrial Machinery,539.29,1190,104.88,31.64,2.66,2017
THINKSMART LIMITED,Financial Services,Specialty Finance,13.79,12.5,6.71,20.16,nan,2018
THIRD POINT OFFSHORE INVESTORS LIMITED,Equity Investment Instruments,Equity Investment Instruments,515.48,1107.5,940.26,nan,nan,2017
THOMAS COOK GROUP PLC,Travel &amp; Leisure,Travel &amp; Tourism,459.53,31.5,-183.42,133.68,nan,2018
THOR MINING PLC,Mining,General Mining,7.89,1.1,0.01,-3.59,nan,2017
THORPE (F.W.) PLC,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,358.81,309,78.17,nan,1.62,2018
THRUVISION GROUP PLC,Electronic &amp; Electrical Equipment,Electronic Equipment,43.27,29.75,11.79,nan,nan,2018
TI FLUID SYSTEMS PLC,Automobiles &amp; Parts,Auto Parts,984.69,189.8,-224.4,97.02,11.03,2017
TLA WORLDWIDE PLC,Media,Media Agencies,2.33,1.62,-13.74,88.74,nan,2017
TLOU ENERGY LIMITED,Oil &amp; Gas Producers,Exploration &amp; Production,20.18,5.75,13.08,nan,nan,2018
TOC PROPERTY BACKED LENDING TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,27.87,103.5,nan,nan,nan,2017
TOMCO ENERGY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,2.11,2.35,0.05,nan,nan,2017
TOPPS TILES PLC,General Retailers,Home Improvement Retailers,130.6,67,12.86,nan,5.41,2018
TOTALLY PLC,Health Care Equipment &amp; Services,Health Care Providers,8.4,13.8,-6.56,-37.35,nan,2018
TOUCHSTONE EXPLORATION INC,Oil &amp; Gas Producers,Exploration &amp; Production,15.48,12,22.64,nan,nan,2017
TOUCHSTAR PLC,Technology Hardware &amp; Equipment,Computer Hardware,3.18,37.5,16.41,15.48,nan,2017
TOWER RESOURCES PLC,Oil &amp; Gas Producers,Exploration &amp; Production,6.79,1.2,15.03,nan,nan,2017
TOWN CENTRE SECURITIES PLC,Real Estate Investment Trusts,Diversified REITs,116.42,212,376.4,nan,6.94,2018
TP GROUP PLC,Aerospace &amp; Defense,Defense,48.55,6.4,3.19,-52.11,nan,2017
TP ICAP PLC,Financial Services,Investment Services,1809.44,320.5,19.67,-1.81,3.19,2017
TR EUROPEAN GROWTH TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,437.45,853,1146.7,nan,1.86,2018
TR PROPERTY INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,1229.74,385,395.64,nan,3.19,2018
TRACKWISE DESIGNS PLC,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,15.44,103.5,nan,nan,nan,nan
TRACSIS PLC,Software &amp; Computer Services,Software,188.25,651,32.86,-52.37,nan,2018
TRAFALGAR PROPERTY GROUP PLC,Household Goods &amp; Home Construction,Home Construction,2.76,0.65,1146.7,nan,1.86,2018
TRAKM8 HOLDINGS PLC,Technology Hardware &amp; Equipment,Computer Hardware,14.24,28.5,7.48,14.9,nan,2018
TRANS-SIBERIAN GOLD PLC,Mining,Gold Mining,52.83,48,53.86,15.82,9.56,2017
TRANSENSE TECHNOLOGIES PLC,Automobiles &amp; Parts,Auto Parts,8.43,70,24.62,nan,nan,2018
TRAVIS PERKINS PLC,Support Services,Industrial Suppliers,3202.23,1420,367.77,11.99,2.93,2017
TREATT PLC,Chemicals,Specialty Chemicals,254.29,432.5,81.56,22,1.04,2017
TRI-STAR RESOURCES PLC,Industrial Metals &amp; Mining,Nonferrous Metals,39.06,40.5,0.01,199.84,nan,2017
TRIAD GROUP PLC,Software &amp; Computer Services,Computer Services,5.99,37.5,32.8,nan,2.73,2018
TRIBAL GROUP PLC,Software &amp; Computer Services,Software,143.9,73.4,-1.24,nan,1.23,2017
TRICORN GROUP PLC,Industrial Engineering,Industrial Machinery,6.59,19.5,16.76,47.59,nan,2018
TRIFAST PLC,Industrial Engineering,Industrial Machinery,228.46,186,59.23,6.74,1.49,2018
TRINITY EXPLORATION &amp; PRODUCTION PLC,Oil &amp; Gas Producers,Exploration &amp; Production,50.41,13.12,-10.93,nan,nan,2017
TRIPLE POINT SOCIAL HOUSING REIT PLC,Real Estate Investment Trusts,Residential REITs,353.11,99.6,nan,nan,nan,nan
TRISTEL PLC,Health Care Equipment &amp; Services,Health Care Providers,129.59,292.5,26.55,nan,1.43,2018
TRITAX BIG BOX REIT PLC,Real Estate Investment Trusts,Specialty REITs,2413.66,142.8,141.5,nan,4.3,2017
TROY INCOME &amp; GROWTH TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,217.29,76.4,78.64,nan,3.3,2017
TRUFIN PLC,Financial Services,Specialty Finance,192.79,198,nan,nan,nan,nan
TT ELECTRONICS PLC,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,321.82,198,54.34,23.94,3.44,2016
TUI AG,Travel &amp; Leisure,Travel &amp; Tourism,4908.98,837.6,25.05,-2.84,4.33,2018
TULLOW OIL PLC,Oil &amp; Gas Producers,Exploration &amp; Production,3103.58,221.7,42.61,131.21,22.99,2017
TUNGSTEN CORPORATION PLC,Financial Services,Specialty Finance,44.51,40.1,-1.54,nan,nan,2018
TWENTYFOUR INCOME FUND LIMITED,Equity Investment Instruments,Equity Investment Instruments,477.54,115,127.54,nan,6.05,2018
TWENTYFOUR SELECT MONTHLY INCOME FUND LIMITED,Equity Investment Instruments,Equity Investment Instruments,168.51,91,93.17,nan,6.75,2018
TWO SHIELDS INVESTMENTS PLC,Financial Services,Specialty Finance,1.43,0.09,0.39,nan,nan,2018
TYMAN PLC,Construction &amp; Materials,Building Materials &amp; Fixtures,475.86,243,-35.1,44.68,3.11,2017
U AND I GROUP PLC,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,250.61,200,300.74,34.42,9.17,2018
UDG HEALTHCARE PUBLIC LIMITED COMPANY,Health Care Equipment &amp; Services,Medical Supplies,1449.99,585,38.1,7.15,1.81,2018
UK COMMERCIAL PROPERTY REIT LIMITED,Real Estate Investment Trusts,Diversified REITs,1130.49,87.1,92.81,nan,4.15,2017
UK OIL &amp; GAS PLC,Oil &amp; Gas Producers,Exploration &amp; Production,75.39,1.35,0.65,nan,nan,2017
ULS TECHNOLOGY PLC,Media,Media Agencies,43.76,66.4,-12.94,19.93,1.46,2018
ULTRA ELECTRONICS HOLDINGS PLC,Aerospace &amp; Defense,Defense,893.9,1247,-24.76,14.54,3.68,2017
UNILEVER PLC,Personal Goods,Personal Products,48569.98,4085,-468.3,152.45,2.62,2017
UNION JACK OIL PLC,Oil &amp; Gas Producers,Exploration &amp; Production,7.39,0.09,0.1,nan,nan,2017
UNITE GROUP PLC,Real Estate Investment Trusts,Hotel &amp; Lodging REITs,2390.25,912,709.05,26.7,2.87,2017
UNITED CARPETS GROUP PLC,General Retailers,Home Improvement Retailers,4.07,5,6.3,-50.03,nan,2018
UNIVERSE GROUP PLC,Support Services,Business Support Services,11.27,4.85,2.5,-8.01,nan,2017
UNIVISION ENGINEERING LIMITED,Electronic &amp; Electrical Equipment,Electronic Equipment,7.87,2.05,1.53,nan,2.22,2018
UP GLOBAL SOURCING HOLDINGS PLC,Household Goods &amp; Home Construction,Durable Household Products,48.97,59.6,10.52,145.87,6.97,2018
URALS ENERGY PUBLIC COMPANY LIMITED,Oil &amp; Gas Producers,Exploration &amp; Production,4.8,38,462.67,13.02,nan,2017
URBAN EXPOSURE PLC,Financial Services,Asset Managers,99.85,64,nan,nan,nan,nan
URBAN LOGISTICS REIT PLC,Real Estate Investment Trusts,Industrial &amp; Office REITs,103.75,120.5,nan,nan,nan,2018
URU METALS LIMITED,Industrial Metals &amp; Mining,Nonferrous Metals,1.48,190,0.21,nan,nan,2018
UNITED UTILITIES GROUP PLC,"Gas, Water &amp; Multiutilities",Water,5801.51,847.4,403.76,250.85,5.55,2018
UTILICO EMERGING MARKETS TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,513.06,224.45,251.72,nan,3.08,2017
UTILITYWISE PLC,Support Services,Business Support Services,0,1.9,nan,-121.2,4.79,2017
VALIRX PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,3.74,0.62,0.07,-9.8,nan,2017
VALUE AND INCOME TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,119.34,259,330.45,nan,4.35,2018
VAN ELLE HOLDINGS PLC,Construction &amp; Materials,Heavy Construction,52,65,48.78,14.28,3.8,2018
VAST RESOURCES PLC,Mining,Gold Mining,12.15,0.17,nan,-647.31,nan,2018
VECTURA GROUP PLC,Pharmaceuticals &amp; Biotechnology,Pharmaceuticals,532.64,79.15,12.04,nan,nan,2017
VELA TECHNOLOGIES PLC,Media,Media Agencies,1.46,0.17,0.32,2.92,nan,2018
VELOCITY COMPOSITES PLC,Aerospace &amp; Defense,Aerospace,8.41,23.5,24.86,-47.93,nan,2018
VELOCYS PLC,Oil Equipment &amp; Services,Oil Equipment &amp; Services,15.39,3.75,9.49,-10.41,nan,2017
VELTYCO GROUP PLC,Travel &amp; Leisure,Gambling,6.08,7.75,13.81,nan,nan,2017
VENN LIFE SCIENCES HOLDINGS PLC,Health Care Equipment &amp; Services,Health Care Providers,2.18,3.2,6.44,-13.14,-5.46,2017
VENTURE LIFE GROUP PLC,Health Care Equipment &amp; Services,Medical Supplies,37.67,43.5,-5.4,70.6,0.09,2017
VERDITEK PLC,Alternative Energy,Renewable Energy Equipment,10.86,5.38,nan,-43.25,nan,2017
VERONA PHARMA PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,56.35,53.5,73.77,nan,nan,2017
VERSARIEN PLC,Chemicals,Specialty Chemicals,140.57,90.5,3.74,-16.79,nan,2018
VERTU MOTORS PLC,General Retailers,Specialty Retailers,144.05,38.1,43.97,-7.3,3.36,2018
VESUVIUS PLC,General Industrials,Diversified Industrials,1624.57,600.5,105.34,26.66,3.05,2017
VIANET GROUP PLC,Technology Hardware &amp; Equipment,Telecommunications Equipment,34.5,122,8.88,-5.07,4.33,2018
VICTORIA PLC,Household Goods &amp; Home Construction,Furnishings,432.62,337.5,nan,96.05,nan,2018
VICTORIA OIL &amp; GAS PLC,Oil &amp; Gas Producers,Exploration &amp; Production,22.33,15,29.44,11.89,nan,2017
VICTREX PLC,Chemicals,Specialty Chemicals,2080.87,2404,521.52,nan,5.14,2017
